id,gearth_id,name,lat,long,region
64430,0005A7BFDB13B09F848E,gadget's go coaster,33.8152241,-117.9193603,TOON_TOWN
58559,005DCC8A8413B6B56EFF,rail road - tomorrow land,33.81236010577997,-117.9162380822138,TOMORROW_LAND
76868,007D6F8B3313A7A71F44,indiana jones™ adventure,33.8111657,-117.9205289,ADVENTURE_LAND
280,00C399D54913C25A1A98,millennium falcon: smugglers run,33.8149359,-117.9214384,STAR_WARS_GALAXY_EDGE
49078,00E1B5429A13C260BC96,rise of the resistance,33.81373673773607,-117.9229200217431,STAR_WARS_GALAXY_EDGE
69026,00EEAF10C213B0A14102,haunted mansion,33.8117229,-117.9221794,NEW_ORLEANS_SQUARE
40918,0122F0529313BC07DDD6,main street cinema,33.8107343802203,-117.9186887528338,MAIN_STREET
60515,016CB3B30A13A7C38243,chip 'n dale treehouse,33.8153253,-117.9195743,TOON_TOWN
44978,01A126989313B0A7AA52,astro orbitor,33.81202360459952,-117.918256523726,TOMORROW_LAND
19797,01AE7B50D113B6BEB8F5,fortune teller - new orleans,33.81108117085761,-117.921217027029,NEW_ORLEANS_SQUARE
27887,01CF75336813B6B8962F,donald's boat,33.81514947861604,-117.9187925266185,TOON_TOWN
39868,01DB559F0913A7C3C41C,roger rabbit's car toon spin,33.81522,-117.9180849,TOON_TOWN
61114,024911581213A7A7887A,walt disney's enchanted tiki room,33.8118319,-117.919522,ADVENTURE_LAND
16200,029CF4E7CE13A7C139C8,dumbo the flying elephant,33.8137054,-117.9189411,FANTASY_LAND
33970,02E9209DE313D58F29B2,sw entrance - critter country,33.81289271924754,-117.9222494863597,STAR_WARS_GALAXY_EDGE
41985,030606F92B13A7C1D1E1,mad tea party,33.8134952,-117.9183167,FANTASY_LAND
72179,040392B74F13A7A75353,pirates of the caribbean,33.8112313,-117.9208179,NEW_ORLEANS_SQUARE
87125,045BFCC4E813D58E7955,sw entrance - fantasyland,33.81355529062645,-117.9200614486434,STAR_WARS_GALAXY_EDGE
11705,04A79152A813A7A76D39,jungle cruise,33.8114049,-117.9201209,ADVENTURE_LAND
82766,05339F3E7F13B1740ECE,great moments with mr. lincoln,33.8102333,-117.9184917,MAIN_STREET
60568,0577C24E6013A7C2AF38,thunder rail road,33.81287357769112,-117.9201131917109,FRONTIER_LAND
70412,05B39FBDCE13A7C502CC,pirate's lair on tom sawyer island,33.81204589999999,-117.9212202,FRONTIER_LAND
2521,05DE65A65813B16F4EF9,casey's jr train,33.81371392734714,-117.9191568933349,FANTASY_LAND
99677,05FF91A9C713A7C3901D,mickey's house and meet mickey,33.81548,-117.9191768,TOON_TOWN
46167,0600C026F613A7C19D77,it's a small world,33.8146006,-117.9178472,FANTASY_LAND
1924,06362FB21B13A7C34C64,goofy's playhouse,33.8152072,-117.9188999,TOON_TOWN
10515,066915218D13A7BFF593,snow white's scary adventures,33.8131144,-117.9191743,FANTASY_LAND
