source,source_name,target,target_name,distance_km
1924,goofy's playhouse,27887,donald's boat,0.01181502687985456
1924,goofy's playhouse,39868,roger rabbit's car toon spin,0.07530708693129297
1924,goofy's playhouse,99677,mickey's house and meet mickey,0.03968065078699248
1924,goofy's playhouse,73844,rail road mickey town,0.046657535263430104
1924,goofy's playhouse,40788,minnie's house,0.044078806302886166
10515,snow white's scary adventures,16200,dumbo the flying elephant,0.06915770957431493
10515,snow white's scary adventures,2521,casey's jr train,0.06668379321664794
10515,snow white's scary adventures,69032,mr. toad's wild ride,0.048854910224250904
10515,snow white's scary adventures,32605,pinocchio's daring journey,0.02763941397612127
10515,snow white's scary adventures,92795,king arthur carrousel,0.03728603187581946
10515,snow white's scary adventures,70528,sleeping beauty castle walkthrough,0.04022056919270443
10515,snow white's scary adventures,74966,peter pan's flight,0.029176101560941352
76976,rail road - new orleans,76868,indiana jones™ adventure,0.07165266085139162
76976,rail road - new orleans,19797,fortune teller - new orleans,0.016387197891147204
76976,rail road - new orleans,72179,pirates of the caribbean,0.04484171426852776
76976,rail road - new orleans,54449,tarzan's tree house,0.07141468697005297
76976,rail road - new orleans,6984,haunted mansion holiday,0.07028464053793614
69032,mr. toad's wild ride,16200,dumbo the flying elephant,0.04087311437184797
69032,mr. toad's wild ride,41985,mad tea party,0.0420599556571513
69032,mr. toad's wild ride,2521,casey's jr train,0.05337898517406569
69032,mr. toad's wild ride,10515,snow white's scary adventures,0.048854910224250904
69032,mr. toad's wild ride,78442,alice in wonderland,0.04285567647720563
69032,mr. toad's wild ride,32605,pinocchio's daring journey,0.047328364372527056
69032,mr. toad's wild ride,92795,king arthur carrousel,0.01827560487902819
69032,mr. toad's wild ride,70528,sleeping beauty castle walkthrough,0.06757643531988945
69032,mr. toad's wild ride,85718,storybook land canal boats,0.052796162067918685
69032,mr. toad's wild ride,74966,peter pan's flight,0.030790395819207266
78442,alice in wonderland,16200,dumbo the flying elephant,0.07528089369148587
78442,alice in wonderland,41985,mad tea party,0.02256858806370041
78442,alice in wonderland,69032,mr. toad's wild ride,0.04285567647720563
78442,alice in wonderland,96097,matterhorn bobsleds,0.05035354860546558
78442,alice in wonderland,92795,king arthur carrousel,0.061043749892154414
78442,alice in wonderland,85718,storybook land canal boats,0.0373998954181481
78442,alice in wonderland,74966,peter pan's flight,0.055779692866689295
83634,pumpkin festival,40918,main street cinema,2.62700230079045e-07
83634,pumpkin festival,82766,great moments with mr. lincoln,0.0586164064439834
83634,pumpkin festival,50720,disney gallery,0.05454191690574149
83634,pumpkin festival,60282,fortune teller - main street,0.043911875019057606
83634,pumpkin festival,70282,main street vehicles,0.015472665897204887
3125,mark twain riverboat,60568,thunder rail road,0.07690232705021377
3125,mark twain riverboat,70412,pirate's lair on tom sawyer island,0.06719234618688764
3125,mark twain riverboat,5359,shooting exposition,0.056099550299255875
3125,mark twain riverboat,29293,sailing columbia,0.00819591148600031
61323,splash mountain,69026,haunted mansion,0.05021377438156316
61323,splash mountain,43753,the many adventures of winnie the pooh,0.07808897101877242
61323,splash mountain,714,davy crockett's explorer canoes,0.05358615672082393
50720,disney gallery,40918,main street cinema,0.054541968826045506
50720,disney gallery,82766,great moments with mr. lincoln,0.013783761069963407
50720,disney gallery,83634,pumpkin festival,0.05454191690574149
50720,disney gallery,91073,rail road - entrance,0.03486779597554538
50720,disney gallery,70282,main street vehicles,0.03997753886415828
73133,star tours – the adventures continue,44978,astro orbitor,0.02677631171019211
73133,star tours – the adventures continue,68863,buzz lightyear astro blasters,0.03411969026269818
5359,shooting exposition,61114,walt disney's enchanted tiki room,0.05174383191634434
5359,shooting exposition,11705,jungle cruise,0.07319774823944164
5359,shooting exposition,3125,mark twain riverboat,0.056099550299255875
5359,shooting exposition,29293,sailing columbia,0.05287255686627808
29293,sailing columbia,70412,pirate's lair on tom sawyer island,0.06437706881585971
29293,sailing columbia,3125,mark twain riverboat,0.00819591148600031
29293,sailing columbia,5359,shooting exposition,0.05287255686627808
43753,the many adventures of winnie the pooh,61323,splash mountain,0.07808897101877242
54449,tarzan's tree house,76868,indiana jones™ adventure,0.015006039320240633
54449,tarzan's tree house,19797,fortune teller - new orleans,0.06736925761106684
54449,tarzan's tree house,72179,pirates of the caribbean,0.027042954642667046
54449,tarzan's tree house,11705,jungle cruise,0.040183406763831316
54449,tarzan's tree house,76976,rail road - new orleans,0.07141468697005297
60282,fortune teller - main street,40918,main street cinema,0.04391179056393583
60282,fortune teller - main street,83634,pumpkin festival,0.043911875019057606
60282,fortune teller - main street,70282,main street vehicles,0.058376574076602974
30923,its a small world holiday,46167,it's a small world,0.021675035867520134
23238,finding nemo submarine voyage,99303,star wars launch bay,0.06181668558879744
23238,finding nemo submarine voyage,46507,autopia,0.05800866942615016
23238,finding nemo submarine voyage,8115,monorail,0.033578140074925114
